2488, 14, 106
4088, 11, 160
4745, 17, 172
4086, 14, 125
5525, 12, 165
5129, 10, 197
5128, 19, 151
5124, 12, 126
4743, 13, 149
5809, 12, 174
982, 10, 162
5202, 12, 105
2487, 15, 177
735, 14, 133
734, 18, 162
733, 19, 167
732, 13, 131
7738, 18, 131
731, 15, 182
622, 20, 139
730, 10, 112
765, 13, 115
764, 18, 187
763, 15, 154
22477, 20, 140
762, 14, 112
761, 10, 166
4085, 19, 112
4083, 12, 135
4082, 17, 128
4081, 18, 176
4080, 19, 170
4741, 18, 165
4740, 20, 111
4738, 19, 168
4737, 17, 124
4735, 16, 154
4734, 10, 199
4478, 18, 170
4477, 10, 101
976, 11, 103
4476, 20, 168
4474, 10, 155
4473, 19, 161
40812, 20, 122
4728, 11, 111
760, 16, 199
981, 16, 172
980, 12, 171
1473, 13, 118
979, 10, 158
975, 11, 138
974, 11, 105
973, 10, 148
972, 15, 144
971, 12, 187
1611, 17, 192
970, 13, 149
969, 18, 105
968, 16, 145
967, 20, 126
966, 15, 160
1092, 10, 108
1091, 16, 164
1090, 12, 135
1089, 18, 189
965, 11, 194
964, 15, 115
963, 19, 176
1610, 18, 182
758, 14, 123
962, 12, 156
1088, 11, 111
1084, 14, 107
961, 19, 126
1472, 13, 193
1471, 20, 117
38935, 14, 142
1469, 10, 106
2489, 10, 150
1621, 13, 194
4988, 11, 188
1305, 10, 161
1323, 17, 194
1468, 19, 124
1467, 14, 196
1620, 19, 121
1502, 12, 129
1619, 12, 195
1618, 19, 147
1617, 19, 112
1609, 20, 167
4079, 11, 120
4078, 10, 172
39963, 10, 113
39966, 15, 196
1942, 13, 195
1941, 12, 101
751, 14, 170
1940, 16, 199
1939, 10, 187
5561, 17, 117
1938, 15, 170
39408, 15, 166
1936, 12, 146
959, 19, 194
1935, 10, 100
1932, 18, 143
39964, 11, 111
1931, 16, 111
1929, 15, 142
1911, 11, 195
1910, 10, 145
2153, 19, 113
2152, 12, 189
2149, 11, 140
2148, 20, 190
2147, 17, 199
2146, 15, 112
2144, 12, 139
2525, 19, 151
7074, 18, 156
4987, 10, 180
4727, 11, 191
4920, 10, 156
4863, 18, 111
4865, 14, 135
4911, 17, 188
4726, 15, 186
4908, 20, 189
4905, 14, 119
4904, 14, 169
4874, 19, 118
4468, 17, 132
2142, 18, 140
2141, 16, 137
2140, 16, 134
7186, 10, 105
2139, 18, 161
2530, 16, 131
2138, 20, 164
2137, 13, 125
2136, 13, 171
2528, 17, 121
2526, 14, 152
2524, 14, 150
2523, 19, 170
2504, 15, 124
2503, 15, 152
41273, 18, 120
2500, 14, 180
2498, 16, 159
4721, 17, 152
2497, 20, 169
2496, 13, 153
2513, 15, 106
2512, 16, 112
957, 15, 155
2511, 10, 197
2509, 14, 113
2508, 17, 137
2506, 14, 183
4077, 15, 200
4723, 17, 200
4720, 15, 162
2521, 17, 142
2520, 13, 134
2519, 18, 166
2518, 11, 141
2516, 10, 135
2515, 15, 106
2401, 13, 178
2485, 20, 185
2483, 18, 198
2482, 16, 155
2481, 13, 110
2478, 10, 131
2477, 13, 174
2476, 17, 156
4719, 11, 197
4716, 15, 149
4873, 12, 170
4465, 12, 107
4464, 18, 113
4715, 14, 111
4713, 13, 106
4712, 17, 148
4461, 17, 188
4460, 11, 161
4459, 16, 188
4458, 14, 150
4457, 10, 171
4454, 14, 101
4453, 18, 112
4452, 11, 189
4451, 13, 171
4711, 17, 161
4710, 19, 192
4709, 12, 122
4707, 12, 194
4706, 20, 198
4206, 16, 151
4450, 17, 180
4856, 18, 100
3749, 18, 109
3750, 19, 144
3741, 11, 171
3740, 10, 108
3739, 18, 106
3738, 17, 106
3737, 10, 193
3736, 14, 165
3735, 14, 133
3733, 10, 197
3866, 15, 138
3881, 19, 163
3880, 20, 161
3879, 14, 187
3878, 18, 129
3877, 10, 173
3876, 14, 158
3875, 16, 181
3874, 19, 106
4175, 17, 193
3873, 19, 141
3872, 18, 149
3871, 10, 125
3870, 10, 158
7935, 18, 160
9441, 17, 101
2527, 16, 130
9703, 18, 149
9702, 20, 149
9701, 11, 129
9700, 14, 158
9699, 18, 171
3865, 11, 148
9788, 10, 123
9698, 12, 184
9458, 17, 122
9709, 12, 151
9372, 14, 155
9706, 14, 196
9705, 11, 181
9704, 10, 199
3869, 16, 150
3868, 17, 123
3864, 10, 117
3863, 13, 156
3862, 20, 162
3860, 17, 198
3849, 13, 162
3859, 20, 159
3858, 10, 184
3856, 12, 170
4065, 12, 166
3854, 11, 132
3852, 18, 190
4174, 11, 150
6753, 11, 160
3850, 16, 112
3748, 18, 179
3632, 17, 179
4448, 17, 100
6012, 19, 168
4043, 14, 159
9489, 13, 191
4042, 13, 154
4041, 20, 114
4172, 12, 122
4171, 12, 161
4447, 18, 173
7459, 11, 106
26703, 16, 157
7457, 17, 181
7456, 20, 121
7455, 13, 200
7454, 13, 107
9735, 17, 121
7453, 14, 198
4446, 19, 165
3848, 10, 143
4170, 16, 118
6751, 16, 182
6910, 15, 106
4445, 17, 138
4444, 15, 134
4443, 15, 186
26930, 10, 127
8104, 18, 111
26931, 20, 170
8103, 18, 160
8794, 15, 149
8101, 11, 175
8100, 19, 187
8095, 15, 182
26942, 15, 106
8108, 15, 136
26944, 15, 100
9460, 11, 175
9459, 12, 136
9695, 11, 179
9694, 15, 141
6253, 14, 179
18368, 15, 166
9693, 19, 143
9692, 13, 125
8305, 10, 149
8314, 14, 158
9787, 15, 152
9691, 19, 200
9690, 11, 101
9688, 19, 143
26946, 15, 115
9485, 11, 196
9476, 19, 200
9475, 16, 143
9474, 13, 152
9473, 16, 177
9471, 20, 138
9470, 12, 122
9469, 16, 129
9491, 20, 171
26945, 14, 172
9484, 17, 142
9483, 20, 106
9482, 17, 184
9481, 15, 160
9480, 18, 116
9479, 17, 133
26961, 12, 168
9477, 10, 192
9780, 12, 184
9659, 13, 177
7444, 17, 152
7443, 11, 193
7442, 10, 158
7441, 14, 171
6544, 17, 102
6543, 15, 109
6542, 17, 173
6476, 14, 157
6475, 20, 186
6474, 10, 194
6472, 11, 132
7440, 15, 133
7439, 18, 118
4435, 20, 102
4434, 14, 142
4437, 17, 100
6471, 15, 127
6468, 10, 110
40470, 14, 198
6539, 11, 187
6323, 19, 101
6537, 13, 194
6536, 16, 145
6535, 14, 117
6534, 15, 106
7438, 11, 187
8232, 19, 132
5522, 17, 131
7437, 20, 114
7436, 19, 114
7435, 14, 197
