701672, 604, 12, 1
702090, 406, 17, 0
702091, 400, 11, 1
25779161, 636, 14, 1
25779173, 420, 19, 1
25779174, 710, 19, 1
25779189, 532, 14, 0
25779197, 430, 13, 0
25779199, 523, 10, 0
25779203, 678, 16, 0
25779221, 679, 17, 0
26098008, 739, 19, 0
26098016, 433, 19, 0
26098027, 641, 20, 0
26098045, 461, 13, 0
26098097, 781, 16, 1
26098113, 404, 15, 0
26098166, 647, 14, 1
26099529, 720, 19, 0
26099532, 521, 20, 1
26099533, 536, 11, 1
26099536, 433, 13, 1
26099537, 632, 13, 0
26099542, 500, 12, 0
26099544, 618, 15, 1
26218622, 459, 18, 0
26218631, 407, 14, 0
26220949, 409, 12, 1
26220951, 499, 20, 1
26220970, 645, 11, 1
26698357, 744, 13, 0
26699785, 421, 16, 1
26699799, 770, 12, 0
26699807, 612, 13, 1
26703423, 669, 17, 0
26703426, 458, 12, 1
26703433, 491, 20, 1
26703434, 483, 16, 1
26703435, 636, 19, 0
26703510, 609, 11, 0
26703625, 754, 18, 0
26703636, 463, 19, 0
26703638, 622, 20, 1
26703640, 489, 17, 1
26703646, 475, 18, 0
26703648, 542, 11, 1
26703650, 474, 16, 1
26703891, 459, 19, 1
26703916, 416, 12, 0
26704134, 682, 12, 1
26704140, 505, 16, 1
26704147, 449, 18, 1
26704159, 431, 18, 0
26704163, 671, 11, 1
26704168, 734, 14, 1
26704169, 655, 12, 1
26704178, 497, 13, 1
26704186, 796, 18, 1
26704188, 515, 20, 1
26704211, 594, 13, 0
26704212, 480, 10, 0
26704221, 622, 18, 0
26704226, 674, 16, 1
26704233, 678, 13, 0
26704235, 542, 10, 1
26704238, 541, 14, 1
26791860, 588, 15, 0
26792807, 724, 10, 0
26792815, 548, 14, 1
26792817, 506, 13, 1
26792886, 582, 10, 0
26792889, 481, 12, 0
26792901, 422, 11, 1
26792906, 766, 20, 0
26792911, 696, 17, 1
26793269, 441, 17, 0
26793388, 713, 14, 1
26793478, 478, 15, 0
26793636, 511, 19, 0
26793983, 461, 20, 1
26794001, 628, 13, 1
26794425, 554, 15, 1
26794449, 688, 20, 1
26794464, 527, 12, 0
26794474, 512, 11, 0
26794487, 678, 12, 1
26794508, 561, 19, 0
26794523, 662, 13, 1
26794540, 726, 18, 0
26794541, 555, 13, 1
26794543, 609, 15, 0
26794544, 756, 18, 1
26794545, 791, 18, 0
26794546, 615, 13, 0
26794549, 439, 20, 0
26794550, 454, 12, 0
26794555, 774, 16, 1
26794556, 556, 15, 1
26794558, 768, 10, 1
26794571, 731, 12, 0
26794572, 404, 12, 0
26794577, 611, 18, 0
26794582, 777, 12, 1
26794583, 450, 11, 1
26794584, 687, 14, 0
26794585, 682, 19, 1
26794589, 749, 13, 1
26794590, 527, 14, 0
26794592, 496, 14, 1
26794593, 780, 20, 1
26794594, 440, 19, 0
26794595, 535, 15, 1
26794602, 727, 13, 1
26794603, 659, 12, 1
26794604, 741, 15, 0
26794605, 553, 12, 0
26794608, 615, 19, 0
26794613, 418, 16, 1
26794614, 487, 13, 1
26794619, 676, 16, 1
26794620, 780, 12, 0
26794623, 734, 20, 0
26794624, 430, 17, 0
26794625, 708, 20, 0
26794626, 539, 13, 1
26794627, 660, 15, 0
26794629, 421, 19, 1
26794631, 418, 11, 1
26808041, 596, 16, 1
26808042, 646, 14, 1
26808044, 537, 19, 0
26808049, 768, 13, 1
26808050, 546, 14, 1
26808051, 434, 11, 1
26808054, 679, 20, 1
26808055, 762, 14, 0
26808056, 405, 12, 1
26808637, 636, 15, 0
26808641, 470, 17, 1
26808646, 511, 19, 1
26808648, 568, 17, 1
26808649, 403, 15, 1
26808650, 670, 10, 1
26808653, 469, 14, 0
26817935, 639, 14, 0
26817937, 800, 14, 1
26817972, 472, 16, 0
26817974, 499, 20, 1
26817975, 797, 19, 1
26817976, 413, 19, 0
26817980, 466, 11, 1
26817984, 794, 16, 1
27440208, 468, 18, 1
27440209, 657, 15, 1
27440211, 465, 16, 0
27440212, 638, 20, 0
27440213, 538, 10, 0
27440214, 768, 19, 0
27440215, 424, 19, 1
27440217, 757, 10, 0
27440218, 742, 13, 0
27440219, 547, 10, 1
27440220, 719, 18, 1
27440221, 766, 10, 1
27440222, 617, 17, 1
27440223, 753, 14, 0
27440224, 452, 16, 1
27440225, 796, 17, 0
27440226, 415, 11, 1
